Date,Product,Quantity,Selling_Price,Cost_Price
2026-01-01,Laptop,3,55000,48000
2026-01-01,Mouse,10,800,400
2026-01-02,Keyboard,7,1500,900
2026-01-02,Monitor,4,18000,14000
2026-01-03,Laptop,2,56000,49000
2026-01-03,Mouse,15,850,450
2026-01-04,Printer,2,12000,9000
2026-01-05,Tablet,5,25000,20000
2026-01-06,Keyboard,9,1600,950
2026-01-07,Monitor,3,17500,13500
2026-01-08,Laptop,1,57000,50000
2026-01-09,Mouse,20,820,420
2026-01-10,Tablet,4,25500,20500
2026-01-11,Printer,3,12500,9500
2026-01-12,Keyboard,6,1550,920
2026-01-13,Laptop,4,54500,47000
2026-01-14,Monitor,2,18200,14200
2026-01-15,Mouse,18,830,430
2026-01-16,Tablet,3,26000,21000
2026-01-17,Printer,1,13000,9800
2026-01-18,Laptop,2,56500,49500
2026-01-19,Keyboard,8,1500,900
2026-01-20,Monitor,5,17800,13800
2026-01-21,Mouse,22,840,440
2026-01-22,Tablet,6,24800,19800
2026-01-23,Laptop,3,55800,48800
2026-01-24,Printer,2,12200,9200
2026-01-25,Keyboard,10,1580,930
2026-01-26,Monitor,4,18100,14100
2026-01-27,Mouse,25,810,410
2026-01-28,Tablet,7,25200,20200
2026-01-29,Laptop,1,57500,50500
2026-01-30,Printer,4,12800,9600
2026-01-31,Keyboard,5,1490,880
