Date,Product,Quantity,Selling_Price,Cost_Price
01-01-2026,Laptop,2,60000,48000
01-01-2026,Mouse,10,800,400
01-01-2026,Keyboard,5,1500,900
01-01-2026,Monitor,3,18000,14000
01-01-2026,Tablet,4,30000,24000
02-01-2026,Laptop,2,60000,48000
02-01-2026,Mouse,10,800,400
02-01-2026,Keyboard,5,1500,900
02-01-2026,Monitor,3,18000,14000
02-01-2026,Tablet,4,30000,24000
03-01-2026,Laptop,2,60000,48000
03-01-2026,Mouse,10,800,400
03-01-2026,Keyboard,5,1500,900
03-01-2026,Monitor,3,18000,14000
03-01-2026,Tablet,4,30000,24000
04-01-2026,Laptop,2,60000,48000
04-01-2026,Mouse,10,800,400
04-01-2026,Keyboard,5,1500,900
04-01-2026,Monitor,3,18000,14000
04-01-2026,Tablet,4,30000,24000
05-01-2026,Laptop,2,60000,48000
05-01-2026,Mouse,10,800,400
05-01-2026,Keyboard,5,1500,900
05-01-2026,Monitor,3,18000,14000
05-01-2026,Tablet,4,30000,24000
06-01-2026,Laptop,2,60000,48000
06-01-2026,Mouse,10,800,400
06-01-2026,Keyboard,5,1500,900
06-01-2026,Monitor,3,18000,14000
06-01-2026,Tablet,4,30000,24000
07-01-2026,Laptop,2,60000,48000
07-01-2026,Mouse,10,800,400
07-01-2026,Keyboard,5,1500,900
07-01-2026,Monitor,3,18000,14000
07-01-2026,Tablet,4,30000,24000
08-01-2026,Laptop,2,60000,48000
08-01-2026,Mouse,10,800,400
08-01-2026,Keyboard,5,1500,900
08-01-2026,Monitor,3,18000,14000
08-01-2026,Tablet,4,30000,24000
09-01-2026,Laptop,2,60000,48000
09-01-2026,Mouse,10,800,400
09-01-2026,Keyboard,5,1500,900
09-01-2026,Monitor,3,18000,14000
09-01-2026,Tablet,4,30000,24000
10-01-2026,Laptop,2,60000,48000
10-01-2026,Mouse,10,800,400
10-01-2026,Keyboard,5,1500,900
10-01-2026,Monitor,3,18000,14000
10-01-2026,Tablet,4,30000,24000
11-01-2026,Laptop,2,60000,48000
11-01-2026,Mouse,10,800,400
11-01-2026,Keyboard,5,1500,900
11-01-2026,Monitor,3,18000,14000
11-01-2026,Tablet,4,30000,24000
