Date,Product,Quantity,Selling_Price,Cost_Price
01-01-26,Laptop,3,55000,48000
01-01-26,Mouse,15,800,400
02-01-26,Keyboard,10,1500,900
02-01-26,Monitor,4,18000,14000
03-01-26,Tablet,6,25000,20000
04-01-26,Laptop,2,56000,49000
05-01-26,Printer,3,12000,9000
06-01-26,Mouse,20,820,420
07-01-26,Keyboard,12,1550,920
08-01-26,Monitor,5,17500,13500
09-01-26,Tablet,4,25500,20500
10-01-26,Laptop,4,54500,47000
12-01-26,Mouse,18,830,430
14-01-26,Printer,2,12500,9500
16-01-26,Keyboard,9,1600,950
18-01-26,Monitor,6,17800,13800
20-01-26,Tablet,5,26000,21000
22-01-26,Laptop,3,56500,49500
24-01-26,Mouse,22,840,440
26-01-26,Printer,4,13000,9800
28-01-26,Keyboard,11,1580,930
30-01-26,Monitor,3,18200,14200
01-02-26,Laptop,5,57500,50000
02-02-26,Mouse,25,850,450
03-02-26,Keyboard,14,1620,960
04-02-26,Tablet,7,26500,21500
05-02-26,Monitor,6,18500,14500
06-02-26,Printer,5,13500,10000
08-02-26,Laptop,4,58000,51000
10-02-26,Mouse,30,870,460
12-02-26,Keyboard,16,1650,980
14-02-26,Tablet,8,27000,22000
16-02-26,Monitor,7,19000,15000
18-02-26,Printer,6,13800,10200
20-02-26,Laptop,6,59000,52000
22-02-26,Mouse,28,880,470
24-02-26,Keyboard,15,1680,990
26-02-26,Tablet,9,27500,22500
28-02-26,Monitor,8,19500,15500
